Figure 4: Rent annual inflation slowed across the UK,,,,,
"Private rents annual inflation, across the UK, January 2016 to August 2025",,,,,
,,,,,
Notes,"1. Northern Ireland rents data are currently available up to June 2025 and are for advertised new lets. 
2. Because of data collection limitations, Scotland rents data (underlying the PIPR's stock measure) are mainly for advertised new lets, which were not subject to Scotland's in-tenancy price-increase cap (September 2022 to March 2024) or temporary changes to the Rent Adjudication system (April 2024 to March 2025), as described in the [Cost of Living (Tenant Protection) Scotland Bill](https://www.parliament.scot/bills-and-laws/bills/cost-of-living-tenant-protection-scotland-bill) and the [Scottish Government's Cost of living: rent and eviction page](https://www.gov.scot/publications/cost-of-living-rent-and-eviction/pages/rent-adjudiction/), respectively.",,,,
Unit,Percentage (%),,,,
Source,Price Index of Private Rents (PIPR) from the Office for National Statistics,,,,
,,,,,
Date,UK,England,Wales,Scotland,Northern Ireland
Jan-16,3.3,3.5,1.2,2.1,1.1
Feb-16,3.3,3.5,0.8,1.8,1.3
Mar-16,3.4,3.6,0.8,1.6,1.4
Apr-16,3.3,3.5,0.6,1.5,1.6
May-16,3.2,3.3,0.4,1.4,1.6
Jun-16,3.3,3.5,0.3,1.1,1.6
Jul-16,3.4,3.7,0.3,1.2,1.5
Aug-16,3.3,3.6,0.9,0.9,1.5
Sep-16,3.2,3.5,1.4,1.1,1
Oct-16,3.3,3.6,1.3,1.1,0.9
Nov-16,3.4,3.6,1.2,1.2,0.8
Dec-16,3.4,3.6,1.4,1.4,0.8
Jan-17,3.3,3.5,1.5,1.4,0.7
Feb-17,3.2,3.4,1.7,1.5,0.5
Mar-17,3,3.2,1.7,1.6,0.6
Apr-17,3,3.1,1.7,1.7,0.7
May-17,2.7,2.7,2,1.9,0.8
Jun-17,2.6,2.6,2.6,2.1,1
Jul-17,2.5,2.5,2.9,2.3,1.2
Aug-17,2.2,2.2,2.7,2.6,1.4
Sep-17,1.9,1.8,2.5,2.6,2
Oct-17,1.8,1.7,2.5,2.6,2.1
Nov-17,1.6,1.6,2.4,2.5,2.3
Dec-17,1.5,1.4,2.6,2.5,2.5
Jan-18,1.2,1.1,2.1,2.6,2.6
Feb-18,1.3,1.2,1.9,2.6,2.9
Mar-18,1,0.8,2.2,2.9,3
Apr-18,0.8,0.6,2.3,2.7,3.2
May-18,0.8,0.6,2.4,2.6,3.1
Jun-18,0.7,0.5,1.8,2.5,3.1
Jul-18,0.6,0.4,1.6,2.3,3.1
Aug-18,0.7,0.6,1.7,2.1,3.1
Sep-18,0.9,0.8,1.7,2,2.9
Oct-18,1,0.9,1.7,1.8,3
Nov-18,1.1,1,1.7,2.1,2.7
Dec-18,1.2,1.1,1.8,2.1,2.7
Jan-19,1.4,1.3,2.2,1.9,2.8
Feb-19,1.4,1.3,2.3,1.8,2.7
Mar-19,1.6,1.5,2.1,1.6,2.5
Apr-19,1.6,1.6,2.2,1.8,2.1
May-19,2.1,2.1,1.9,1.9,2
Jun-19,2,2,2,2.2,1.9
Jul-19,1.9,1.9,1.7,2.4,2
Aug-19,2,2,1.8,2.4,2.1
Sep-19,2.2,2.2,2.3,2.5,2
Oct-19,2.2,2.1,2.3,2.7,2
Nov-19,2.1,2.1,2.5,2.6,2.2
Dec-19,2.1,2.1,2.2,2.7,2
Jan-20,2.2,2.1,2.1,2.9,2.1
Feb-20,2.2,2.1,2.2,2.7,2.2
Mar-20,2.2,2.2,2,2.8,2.1
Apr-20,2.1,2.1,1.8,2.7,2.2
May-20,1.8,1.7,2.3,2.6,2.3
Jun-20,1.8,1.8,2.3,2.1,2.3
Jul-20,1.9,1.8,2.9,2,2.3
Aug-20,1.7,1.7,2.6,1.7,2.3
Sep-20,1.5,1.5,1.6,1.6,2.5
Oct-20,1.5,1.4,1.7,1.4,2.7
Nov-20,1.3,1.2,1.6,1.3,3
Dec-20,1.2,1.1,1.7,1.3,3.3
Jan-21,1.1,1,2,1.2,3.5
Feb-21,1.1,1,2,1.4,3.7
Mar-21,1.1,1,2.1,1.3,4.3
Apr-21,1.1,1,2.1,1.4,4.6
May-21,1,0.9,2,1.5,5.1
Jun-21,1.2,1.1,2,1.7,5.3
Jul-21,1.1,1,1.5,1.8,5.6
Aug-21,1.3,1.2,2,1.9,5.9
Sep-21,1.5,1.3,2.3,1.9,6.5
Oct-21,1.7,1.5,2.5,2.1,6.8
Nov-21,2,1.8,2.8,2.4,7.2
Dec-21,2.5,2.3,2.8,3.1,7.5
Jan-22,2.7,2.6,2.8,3.4,7.6
Feb-22,3,2.8,2.9,3.7,8
Mar-22,3.2,3.1,2.8,4.1,8.2
Apr-22,3.6,3.5,3,4.3,8.5
May-22,4,3.9,3.4,4.4,8.5
Jun-22,4.1,4,3.6,4.7,8.9
Jul-22,4.5,4.4,4.1,4.8,9.2
Aug-22,4.8,4.7,4.3,5,9.3
Sep-22,5.1,5,5.2,5.9,9.4
Oct-22,5.2,5,5.2,6.8,9.3
Nov-22,5.5,5.4,5.3,7.1,9.2
Dec-22,5.6,5.4,5.5,7.3,9
Jan-23,5.8,5.6,6,7.7,8.8
Feb-23,6,5.8,6.5,8.2,8.8
Mar-23,6.2,6,7.1,8.4,8.6
Apr-23,6.6,6.4,8.1,8.8,8.3
May-23,7.2,7,7.9,9.7,8.5
Jun-23,7.6,7.4,8.8,10.4,8.4
Jul-23,7.9,7.6,9.3,11,8.8
Aug-23,8.1,7.8,8.7,11.7,8.6
Sep-23,8.1,7.9,9,11.6,8.5
