listing_id,sale_price,gr_liv_area,total_bsmt_sf,lot_area,bedroom_abv_gr,full_bath,half_bath,kitchen_abv_gr,overall_qual,overall_cond,year_built,year_remod_add,exter_qual,kitchen_qual,central_air,garage_cars,garage_area,fireplace_qu,bldg_type,house_style,neighborhood,overall,ms_zoning,foundation,baths_total,age,remod_age
1,215000,1656,1080,31770,3,1,0,1,Above_Average,Average,1960,1960,Typical,Typical,Y,2,528,Good,OneFam,One_Story,North_Ames,Above_Average,Residential_Low_Density,CBlock,1,50,50
2,105000,896,882,11622,2,1,0,1,Average,Above_Average,1961,1961,Typical,Typical,Y,1,730,No_Fireplace,OneFam,One_Story,North_Ames,Average,Residential_High_Density,CBlock,1,49,49
3,172000,1329,1329,14267,3,1,1,1,Above_Average,Above_Average,1958,1958,Typical,Good,Y,1,312,No_Fireplace,OneFam,One_Story,North_Ames,Above_Average,Residential_Low_Density,CBlock,1.5,52,52
4,244000,2110,2110,11160,3,2,1,1,Good,Average,1968,1968,Good,Excellent,Y,2,522,Typical,OneFam,One_Story,North_Ames,Good,Residential_Low_Density,CBlock,2.5,42,42
5,189900,1629,928,13830,3,2,1,1,Average,Average,1997,1998,Typical,Typical,Y,2,482,Typical,OneFam,Two_Story,Gilbert,Average,Residential_Low_Density,PConc,2.5,13,12
6,195500,1604,926,9978,3,2,1,1,Above_Average,Above_Average,1998,1998,Typical,Good,Y,2,470,Good,OneFam,Two_Story,Gilbert,Above_Average,Residential_Low_Density,PConc,2.5,12,12
7,213500,1338,1338,4920,2,2,0,1,Very_Good,Average,2001,2001,Good,Good,Y,2,582,No_Fireplace,TwnhsE,One_Story,Stone_Brook,Very_Good,Residential_Low_Density,PConc,2,9,9
8,191500,1280,1280,5005,2,2,0,1,Very_Good,Average,1992,1992,Good,Good,Y,2,506,No_Fireplace,TwnhsE,One_Story,Stone_Brook,Very_Good,Residential_Low_Density,PConc,2,18,18
9,236500,1616,1595,5389,2,2,0,1,Very_Good,Average,1995,1996,Good,Good,Y,2,608,Typical,TwnhsE,One_Story,Stone_Brook,Very_Good,Residential_Low_Density,PConc,2,15,14
10,189000,1804,994,7500,3,2,1,1,Good,Average,1999,1999,Typical,Good,Y,2,442,Typical,OneFam,Two_Story,Gilbert,Good,Residential_Low_Density,PConc,2.5,11,11
11,175900,1655,763,10000,3,2,1,1,Above_Average,Average,1993,1994,Typical,Typical,Y,2,440,Typical,OneFam,Two_Story,Gilbert,Above_Average,Residential_Low_Density,PConc,2.5,17,16
12,185000,1187,1168,7980,3,2,0,1,Above_Average,Good,1992,2007,Typical,Typical,Y,2,420,No_Fireplace,OneFam,One_Story,Gilbert,Above_Average,Residential_Low_Density,PConc,2,18,3
